time;air.T
107100.0;302.3014881678646
108000.0;302.3409196865615
108900.0;302.3813955580172
109800.0;302.4224666694115
110700.0;302.47791577980587
111600.0;302.53987227433225
112500.0;302.60643805966487
113400.0;302.67223872784876
114300.0;302.7503034551992
115200.0;302.84620454425135
116100.0;302.95362127508434
117000.0;303.0635782422135
117900.0;303.1733000326761
118800.0;303.28231211518244
119700.0;303.6264990594245
120600.0;303.92672218455994
121500.0;304.21593468445326
122400.0;304.49930979121206
123300.0;304.7631633170636
124200.0;305.02350853728035
125100.0;305.28659567312957
126000.0;305.5436280627475
126900.0;305.8045844422665
127800.0;306.0684363400625
128700.0;306.2336574384636
129600.0;306.43945847527465
130500.0;306.5093478315136
131400.0;306.68234451356534
132300.0;306.72964918581755
133200.0;306.7671730380199
134100.0;306.9374304553184
135000.0;306.9893152513396
135900.0;307.1819740322894
136800.0;307.273932188712
137700.0;307.36581807733864
138600.0;307.439320713695
139500.0;307.5273003080214
140400.0;307.58117729101224
141300.0;307.7066297156725
142200.0;307.8543411227145
143100.0;308.007876538637
144000.0;308.1038144542185
144900.0;308.2231473870983
145800.0;308.3492168636765
146700.0;308.43971831833716
147600.0;308.5377168773546
148500.0;308.6422465446976
149400.0;308.75729952051904
150300.0;308.8637288595142
151200.0;308.97358330390966
152100.0;308.8446517433341
153000.0;308.7475034720509
153900.0;308.6733418360869
154800.0;308.6137751501833
155700.0;308.5621296668949
156600.0;308.5214808377566
157500.0;308.48571412306
158400.0;308.4571778001987
159300.0;308.43467393977147
160200.0;308.4140222861797
161100.0;308.3952407316926
162000.0;308.37826560664456
162900.0;308.36640521183296
163800.0;308.35898106343063
164700.0;308.3520792470687
165600.0;308.34926535742613
166500.0;308.3499926256955
167400.0;308.3538335020974
168300.0;308.35699906505874
169200.0;308.3631089097113
170100.0;308.3716311797443
171000.0;308.38213263134094
171900.0;308.3942347458869
172800.0;308.4041629613396
173700.0;308.4155338811168
174600.0;308.42780536401307
175500.0;308.4405323286912
176400.0;308.4533264357605
177300.0;308.46583320949355
178200.0;308.4777193303306
179100.0;308.4886660006868
180000.0;308.49836545245955
180900.0;308.506519616483
181800.0;308.5094137168324
182700.0;308.5107176836449
183600.0;308.509944277903
184500.0;308.5067095381354
185400.0;308.5006948713272
186300.0;308.49162554738376
187200.0;308.47925863276095
188100.0;308.4695330594062
189000.0;308.46131292056845
189900.0;308.45862012981144
190800.0;308.4576147168955
191700.0;308.4630083719201
192600.0;308.47037694198735
193500.0;308.47958841311794
194400.0;308.49134508707294
195300.0;308.5057042650216
196200.0;308.5265400779114
197100.0;308.54886386419264
198000.0;308.5721692073867
198900.0;308.60736561412733
199800.0;308.6481543149878
200700.0;308.7021228228412
201600.0;308.76702186216255
202500.0;308.83831861590954
203400.0;308.9217545290766
204300.0;308.99890555836197
205200.0;309.0906693237093
206100.0;309.40428541876713
207000.0;309.68954350293984
207900.0;309.9498829304238
208800.0;310.2015596741292
209700.0;310.43542876486833
210600.0;310.66945152719427
211500.0;310.90568790211626
212400.0;311.1276070349885
213300.0;311.36038804976056
214200.0;311.58903091934286
215100.0;311.8130835778424
216000.0;312.0297031139851
216900.0;312.23497728548614
217800.0;312.44602619798746
218700.0;312.6452820300847
219600.0;312.84245869560954
220500.0;313.02635778473757
221400.0;313.20471904832993
222300.0;313.3768998152299
223200.0;313.54605125349866
224100.0;313.7043575099731
225000.0;313.8558022964733
225900.0;314.00697795669686
226800.0;314.14166826756065
227700.0;314.2630182947982
228600.0;314.38189219705606
229500.0;314.4917897393995
230400.0;314.6006996417538
231300.0;314.7077531976454
232200.0;314.8099789310425
